cycle,step,time_s,pressure_kpa,co2_partial_kpa,co2_mole_fraction,co2_loading_cm3_stp_g,n2_loading_cm3_stp_g,open_fraction,solid_volume_l,temperature_k,crystal_length_um,co2_k_eff_s,co2_rate_cm3_stp_g_s
1,adsorption,0.0,5.000000000000001,0.7500000000000001,0.15,0.15,0.85,0.0,1.0,298.0,10.0,0.02,7.776407831913043e-19
1,adsorption,2.0,100.04522638392284,7.15385498794365,0.07150621020627994,0.26943129339177685,0.8642816560853415,0.06372377838461171,1.0031861889192306,298.2244304774175,10.010609369877258,0.020048763466668378,0.06447273463632165
1,adsorption,4.0,100.04601594929785,8.150760392469426,0.08147011467803113,0.38686050225320684,0.8772535004940915,0.05217261706045938,1.0026086308530229,298.41143258646895,10.008687886054478,0.02013263898484415,0.053308642258222086
1,adsorption,6.0,100.04667259491433,9.422754957957183,0.0941835916533637,0.48395348857479176,0.8890276753601408,0.04271532605823349,1.0021357663029116,298.5637982477133,10.007114158684137,0.020201201518454132,0.04407789504572103
1,adsorption,8.0,100.04719712854859,10.4515737913042,0.1044664327564838,0.5642764307016539,0.8997035328213566,0.03564132562648124,1.0017820662813244,298.68757851937994,10.005936695804587,0.02025661764266366,0.03698322125541198
1,adsorption,10.0,100.04714692217041,10.502268785734264,0.10497319622621806,0.6408874680451332,0.9093744048448034,0.03898856861338158,1.0019494284306691,298.8037395297649,10.006493876812458,0.02030197674251324,0.0381609497869902
1,adsorption,12.0,100.04721448255842,10.554008799950521,0.10549028130903575,0.7165342280868316,0.9181317012529955,0.0400440842510949,1.0020022042125547,298.91674466372376,10.00666956474352,0.020347655295464933,0.03754518951054159
1,adsorption,14.0,100.04728001983696,10.618937563558204,0.1061391930040749,0.7910084176721482,0.9260593931249864,0.04111822803232924,1.0020559114016165,299.0263246065554,10.006848346949173,0.020391979577294488,0.03696255266395804
1,adsorption,16.0,100.04733915500057,10.681267835638234,0.10676213806236308,0.8644077571911741,0.9332339862744425,0.0422416140116124,1.0021120807005806,299.1326973144066,10.00703531827089,0.020435012432628078,0.03643593756012773
1,adsorption,18.0,100.04739526116924,10.741851158341577,0.10736762441741193,0.936762465452584,0.9397252022927379,0.04335821567596604,1.0021679107837984,299.2359702137137,10.007221153518355,0.02047683062931332,0.03592061899699658
1,adsorption,20.0,100.0474484723549,10.80103570864099,0.10795913212744782,1.0080991897772003,0.9455965355486233,0.04447073354761752,1.0022235366773808,299.336241712395,10.007406302239117,0.02051746783917751,0.035418472102790026
1,adsorption,22.0,100.04749893470867,10.858810900480684,0.10853655529727117,1.0784453699866272,0.9509057796917711,0.04558006189330024,1.002279003094665,299.43360848530193,10.00759091332769,0.02055695859876661,0.034929912142441885
